VTO_name	VTO_id
Chiromyoides	VTO_9006179
Ashorocetus eguchii	VTO_9002960
Gymnothorax elegans	VTO_0034026
Anarchias seychellensis	VTO_0034020
Gymnothorax australicola	VTO_0034029
Neosciuromys	VTO_9023535
Acheronodon	VTO_9023534
Taeniolabididae	VTO_9023537
Macropetalichthyidae	VTO_9023536
Corydoras solox	VTO_0035371
Eucosmodontidae	VTO_9023530
Phalacrocorax mediterraneus	VTO_9023533
Zenkerella	VTO_9023532
Issiodoromys	VTO_9023539
Microsuevosciurus	VTO_9023538
Petrocephalus ansorgii	VTO_0033795
Nectophrynoides wendyae	VTO_0081427
Triplophysa xichangensis	VTO_0062519
Triplophysa cuneicephala	VTO_0062518
Dolichochampsa	VTO_9007229
Dolichochampsidae	VTO_9007228
Triplophysa pappenheimi	VTO_0062511
Sphenacanthus sanpauloensis	VTO_9007222
Orodontidae	VTO_9007221
Triplophysa fuxianensis	VTO_0062512
Triplophysa tibetana	VTO_0062515
Triplophysa chondrostoma	VTO_0062514
Triplophysa pedaschenkoi	VTO_0062517
Nemacheilus coniptera	VTO_0062516
Rhinella tenrec	VTO_0081295
Poraspis cylindrica	VTO_9009048
Rhinella sclerocephala	VTO_0081297
Rhinella rostrata	VTO_0081296
Rhinella sternosignata	VTO_0081291
Rhinella leptoscelis	VTO_0081290
Rhinella iserni	VTO_0081293
Rhinella inopinus	VTO_0081292
Eopachyrucos pliciferus	VTO_9009041
Martes stirtoni	VTO_9009040
Carlesia	VTO_9009043
Agilisaurus	VTO_9009042
Rhinella dorbignyi	VTO_0081299
Poraspis magna	VTO_9009044
Salladolodus deuterotherioides	VTO_9009047
Carlesia incognita	VTO_9009046
Neosebastes multisquamus	VTO_0072559
Neosebastes capricornis	VTO_0072554
Neosebastes longirostris	VTO_0072555
Heminodus philippinus	VTO_0072550
Parabembras curtus	VTO_0072551
Erilepis	VTO_0072552
Erilepis zonifer	VTO_0072553
Heptranchias howellii	VTO_9028619
Sarcoprion edax	VTO_9028618
Orestias uruni	VTO_0070954
Orestias elegans	VTO_0070955
Orestias cuvieri	VTO_0070952
Orestias minutus	VTO_0070953
Orestias olivaceus	VTO_0070950
Microcleidus homalospondylus	VTO_9028611
Champsosaurus laramiensis	VTO_9028610
Champsosaurus natator	VTO_9028613
Soroavisaurus	VTO_9028612
Brachauchenius lucasi	VTO_9028614
Aphanius transgrediens	VTO_0070958
Aphanius punctatus	VTO_0070959
Alluvisorex chasseae	VTO_9021978
Palaeaspis bowerbanki	VTO_9021977
Alocodontulum	VTO_9021976
Schizogalerix voesendorfensis	VTO_9021975
Schizogalerix moedlingensis	VTO_9021974
